;word list generated with Sketch Engine https://www.sketchengine.co.uk/word-lists/;
;language:;Spanish;
;corpus:;Spanish Web 2011;
;word form;frequence;
1;de;665 287 577;1
2;la;387 833 066;0,582955521
3;que;293 598 190;0,441310194
4;el;286 556 237;0,430725369
5;y;271 633 793;0,408295303
6;en;270 050 315;0,405915163
7;a;200 694 686;0,301666066
8;los;162 246 121;0,243873667
9;del;121 814 633;0,183100718
10;se;119 370 719;0,179427248
11;las;104 485 276;0,157052799
12;por;100 225 609;0,150650053
13;un;96 596 699;0,145195405
14;con;95 858 254;0,144085441
15;para;86 553 475;0,13009934
16;no;79 685 416;0,119775897
17;una;75 548 277;0,113557324
18;es;71 900 800;0,108074767
19;su;55 524 394;0,083459238
20;al;55 210 613;0,08298759
21;lo;51 786 699;0,077841073
22;como;47 972 884;0,072108492
23;m�s;35 300 411;0,053060379
24;o;33 749 102;0,050728592
25;este;25 865 716;0,038879
26;pero;23 986 389;0,036054166
27;sus;23 797 935;0,035770899
28;esta;21 551 184;0,032393787
29;si;21 182 484;0,03183959
30;ha;19 569 989;0,029415834
31;me;18 433 278;0,027707233
32;ya;16 923 966;0,025438572
33;le;16 394 975;0,024643441
34;son;16 365 333;0,024598886
35;sobre;15 921 003;0,023931009
36;entre;15 446 578;0,023217896
37;ser;14 525 845;0,021833934
38;fue;14 344 197;0,021560897
39;sin;14 324 862;0,021531834
40;todo;13 996 517;0,021038296
41;tambi�n;13 964 873;0,020990732
42;desde;13 321 680;0,020023942
43;cuando;12 883 912;0,019365929
44;muy;12 673 546;0,019049726
45;a?os;12 602 840;0,018943447
46;est�;12 142 080;0,018250874
47;todos;12 068 612;0,018140444
48;hay;11 387 011;0,017115923
49;tiene;11 360 180;0,017075593
50;nos;11 338 615;0,017043179
51;porque;10 899 929;0,016383786
52;dos;10 837 612;0,016290116
53;hasta;10 535 072;0,015835366
54;donde;10 281 662;0,015454463
55;parte;10 226 794;0,01537199
56;as�;10 137 839;0,015238281
57;han;9 746 507;0,014650066
58;puede;9 688 813;0,014563346
59;mi;9 660 444;0,014520704
60;a?o;9 273 270;0,013938739
61;cada;9 062 138;0,013621385
62;uno;8 335 415;0,012529041
63;vez;8 166 336;0,012274896
64;bien;7 939 847;0,011934459
65;hace;7 833 258;0,011774244
66;trabajo;7 820 804;0,011755524
67;nacional;7 678 297;0,01154132
68;estado;7 532 999;0,011322921
69;otros;7 461 530;0,011215496
70;gobierno;7 452 905;0,011202531
71;eso;7 406 042;0,011132091
72;tiempo;7 373 817;0,011083654
73;adem�s;7 283 062;0,010947239
74;mismo;7 210 500;0,01083817
75;ese;7 202 894;0,010826738
76;hacer;7 170 667;0,010778297
77;pa�s;7 081 706;0,010644579
78;yo;6 991 485;0,010508967
79;durante;6 971 609;0,010479091
80;te;6 957 043;0,010457197
81;d�a;6 943 678;0,010437108
82;tanto;6 924 099;0,010407678
83;vida;6 872 403;0,010329973
84;esto;6 756 264;0,010155404
85;forma;6 673 597;0,010031146
86;estos;6 636 097;0,00997478
87;s�lo;6 629 631;0,009965061
88;personas;6 613 325;0,009940551
89;ni;6 528 002;0,009812301
90;otro;6 331 582;0,00951706
91;ahora;6 328 238;0,009512034
92;hoy;6 271 879;0,00942732
93;era;6 225 927;0,009358249
94;caso;6 194 700;0,009311312
95;est�n;6 188 706;0,009302302
96;les;6 043 073;0,0090834
97;mejor;5 960 060;0,008958622
98;lugar;5 944 569;0,008935337
99;qu�;5 936 546;0,008923278
100;quien;5 927 504;0,008909687
101;cual;5 840 741;0,008779273
102;esa;5 837 157;0,008773885
103;ciudad;5 762 543;0,008661732
104;general;5 699 536;0,008567026
105;mundo;5 685 129;0,008545371
106;siempre;5 615 394;0,008440551
107;menos;5 562 062;0,008360388
108;desarrollo;5 499 959;0,00826704
109;contra;5 420 492;0,008147592
110;cuenta;5 410 823;0,008133059
111;tres;5 402 656;0,008120783
112;ver;5 329 960;0,008011513
113;m�s;5 329 045;0,008010138
114;mayor;5 325 303;0,008004513
115;otra;5 302 440;0,007970147
116;mucho;5 301 745;0,007969103
117;dijo;5 251 343;0,007893343
118;tienen;5 235 866;0,007870079
119;sido;5 224 120;0,007852424
120;presidente;5 216 407;0,00784083
121;ante;5 140 434;0,007726635
122;seg�n;5 127 819;0,007707673
123;tener;5 103 046;0,007670436
124;primera;5 059 177;0,007604496
125;sea;5 028 548;0,007558458
126;debe;5 005 049;0,007523136
127;despu�s;5 004 572;0,007522419
128;aunque;4 974 288;0,007476899
129;ley;4 951 715;0,007442969
130;sistema;4 938 469;0,007423059
131;manera;4 935 214;0,007418166
132;solo;4 931 885;0,007413163
133;poder;4 923 308;0,00740027
134;nuevo;4 913 702;0,007385832
135;ellos;4 906 930;0,007375653
136;todas;4 906 645;0,007375224
137;social;4 888 050;0,007347274
138;informaci�n;4 843 283;0,007279984
139;momento;4 833 575;0,007265392
140;sino;4 820 610;0,007245904
141;nuestro;4 811 821;0,007232693
142;otras;4 785 376;0,007192944
143;antes;4 754 079;0,007145901
144;luego;4 752 686;0,007143807
145;estas;4 708 978;0,007078109
146;tu;4 651 845;0,006992232
147;algo;4 594 458;0,006905973
148;hab�a;4 589 080;0,006897889
149;d�as;4 570 465;0,006869909
150;nuestra;4 553 898;0,006845007
151;primer;4 550 590;0,006840035
152;nada;4 546 983;0,006834613
153;hecho;4 543 530;0,006829423
154;poco;4 531 691;0,006811627
155;pueden;4 519 857;0,006793839
156;proyecto;4 514 617;0,006785963
157;ser�;4 500 817;0,00676522
158;va;4 431 374;0,00666084
159;grupo;4 413 735;0,006634326
160;fueron;4 387 156;0,006594375
161;trav�s;4 380 550;0,006584446
162;algunos;4 359 521;0,006552837
163;tan;4 327 155;0,006504187
164;tipo;4 320 955;0,006494868
165;medio;4 287 918;0,00644521
166;gente;4 280 961;0,006434753
167;decir;4 226 165;0,006352388
168;equipo;4 187 247;0,00629389
169;nueva;4 138 845;0,006221137
170;importante;4 135 117;0,006215533
171;san;4 129 668;0,006207343
172;toda;4 114 735;0,006184897
173;mientras;4 109 649;0,006177252
174;pues;4 077 776;0,006129343
175;centro;4 030 530;0,006058327
176;acuerdo;3 985 937;0,005991299
177;programa;3 961 699;0,005954867
178;salud;3 901 087;0,00586376
179;pasado;3 897 025;0,005857655
180;empresa;3 873 343;0,005822058
181;muchos;3 861 045;0,005803573
182;fin;3 815 350;0,005734888
183;dentro;3 799 015;0,005710335
184;nivel;3 787 694;0,005693318
185;partido;3 784 077;0,005687882
186;servicios;3 781 953;0,005684689
187;casa;3 764 686;0,005658735
188;educaci�n;3 749 457;0,005635844
189;servicio;3 740 819;0,00562286
190;seguridad;3 732 551;0,005610432
191;proceso;3 662 256;0,005504771
192;horas;3 639 135;0,005470018
193;�l;3 633 138;0,005461004
194;pol�tica;3 597 049;0,005406758
195;tal;3 578 503;0,005378881
196;art�culo;3 562 446;0,005354746
197;universidad;3 494 589;0,00525275
198;historia;3 487 133;0,005241542
199;cosas;3 484 228;0,005237176
200;cualquier;3 478 172;0,005228073
201;s�;3 476 616;0,005225734
202;unos;3 470 948;0,005217215
203;hacia;3 449 613;0,005185146
204;misma;3 442 210;0,005174018
205;estar;3 427 727;0,005152249
206;ello;3 375 251;0,005073371
207;tema;3 375 015;0,005073017
208;c�mo;3 372 204;0,005068791
209;empresas;3 310 296;0,004975737
210;gracias;3 304 905;0,004967634
211;calidad;3 293 933;0,004951142
212;quienes;3 291 082;0,004946856
213;embargo;3 264 064;0,004906245
214;p�blico;3 250 749;0,004886231
215;frente;3 218 349;0,004837531
216;agua;3 212 958;0,004829427
217;situaci�n;3 209 657;0,004824466
218;ella;3 194 126;0,004801121
219;sociedad;3 188 527;0,004792705
220;creo;3 176 463;0,004774571
221;nosotros;3 166 785;0,004760024
222;final;3 163 523;0,004755121
223;muchas;3 163 495;0,004755079
224;m�xico;3 158 283;0,004747245
225;derecho;3 154 280;0,004741228
226;zona;3 115 418;0,004682814
227;argentina;3 093 782;0,004650293
228;bajo;3 085 503;0,004637849
229;estamos;3 076 572;0,004624424
230;respecto;3 061 206;0,004601327
231;entonces;3 052 049;0,004587563
232;sector;3 043 826;0,004575203
233;ejemplo;3 041 733;0,004572057
234;estaba;3 032 399;0,004558027
235;tras;3 027 647;0,004550885
236;semana;3 008 493;0,004522094
237;personal;3 007 011;0,004519866
238;casi;2 994 487;0,004501042
239;tenemos;2 991 002;0,004495803
240;recursos;2 967 882;0,004461051
241;diferentes;2 956 636;0,004444147
242;dice;2 938 499;0,004416885
243;veces;2 920 720;0,004390162
244;punto;2 917 342;0,004385084
245;estados;2 916 947;0,00438449
246;uso;2 908 156;0,004371277
247;actividades;2 891 088;0,004345622
248;partir;2 853 165;0,004288619
249;haber;2 843 570;0,004274197
250;dar;2 830 745;0,004254919
251;relaci�n;2 822 201;0,004242077
252;internacional;2 814 247;0,004230121
253;n�mero;2 799 201;0,004207505
254;meses;2 768 315;0,00416108
255;ni?os;2 762 717;0,004152666
256;parece;2 762 251;0,004151965
257;a�n;2 759 404;0,004147686
258;derechos;2 755 442;0,004141731
